ID,Title of the publication,Author full names,Source title,doi,Year,Applications category,Name/s of the crop,Scientific name/s
424,"Influence of processing on bioactive compounds, Type-II diabetes related enzyme regulation potential and antiurolithiatic potential of underutilized legume Macrotyloma uniflorum",Vashishth R.; Semwal A.D.; Murugan M.P.; Khan M.A.; Goel C.,Journal of Food Science and Technology,10.1007/s13197-022-05487-0,2022,Medicinal properties,Macrotyloma uniflorum,Macrotyloma uniflorum
425,Cuscuta epithymum Murr. crude extract pre-conditioning protects C6 cells from L-glutamate-induced neurotoxicity,Pourhadi M.; Niknam Z.; Ghasemi R.; Zomorrod M.S.; Niazi V.; Faizi M.; Zali H.; Mojab F.,BMC Complementary Medicine and Therapies,10.1186/s12906-022-03816-6,2022,Medicinal properties,,Cuscuta epithymum Murr.
426,Profile characterization and biological activities of cold pressed Garden Cress (Lepidium sativum) seed oil,Rezig L.; Chemkhi H.; Gharsallah K.; Mokbli S.; B'chir F.; Ben Achour N.; Bourgou S.; Chouaibi M.,Arabian Journal of Chemistry,10.1016/j.arabjc.2022.103958,2022,Medicinal properties,Cold pressed Garden Cress,Lepidium sativum
427,Consumption of underutilised grain legumes and the prevention of type II diabetes and cardiometabolic diseases: Evidence from field investigation and physicochemical analyses,Hamadou M.; Martin Alain M.M.; Obadias F.V.; Hashmi M.Z.; Ba?aran B.; Jean Paul B.; Samuel René M.,Environmental Challenges,10.1016/j.envc.2022.100621,2022,Medicinal properties,"Soybean, Bambara bean, and cowpea",
428,Mango ‘criollo’ by-products as a source of polyphenols with antioxidant capacity. Ultrasound assisted extraction evaluated by response surface methodology and HPLC-ESI-QTOF-MS/MS characterization,Ojeda G.A.; Sgroppo S.C.; Sánchez Moreno C.; de Ancos Siguero B.,Food Chemistry,10.1016/j.foodchem.2022.133738,2022,Medicinal properties,Mango ‘criollo’,
429,Biologically active Naneoicglycolate of Aristolochia littoralis Parodi seed extract with anti-bacterial activity induces cytotoxicity and apoptosis in A431 human skin cancer cell line,Thara N.K.; Raghavendra M.P.,Indian Journal of Natural Products and Resources,10.56042/ijnpr.v13i3.53169,2022,Medicinal properties,,Aristolochia littoralis Parodi
430,"DNA Barcoding, GIS-Facilitated Seed Germination and Pilot Cultivation of Teucrium luteum subsp. gabesianum (Lamiaceae), a Tunisian Local Endemic with Potential Medicinal and Ornamental Value",Kostas S.; Hatzilazarou S.; Pipinis E.; Bourgou S.; Jilani I.B.H.; Othman W.B.; Megdiche-Ksouri W.; Ghrabi-Gammar Z.; Libiad M.; Khabbach A.; Haissoufi M.E.; Lamchouri F.; Koundourakis E.; Greveniotis V.; Papaioannou E.; Sakellariou M.A.; Anestis I.; Tsoktouridis G.; Krigas N.,Biology,10.3390/biology11030462,2022,Medicinal properties,,Teucrium luteum subsp. gabesianum
431,Facilitating Conservation and Bridging Gaps for the Sustainable Exploitation of the Tunisian Local Endemic Plant Marrubium aschersonii (Lamiaceae),Pipinis E.; Hatzilazarou S.; Kostas S.; Bourgou S.; Megdiche-Ksouri W.; Ghrabi-Gammar Z.; Libiad M.; Khabbach A.; El Haissoufi M.; Lamchouri F.; Koundourakis E.; Greveniotis V.; Papaioannou E.; Sakellariou M.A.; Anestis I.; Tsoktouridis G.; Krigas N.,Sustainability (Switzerland),10.3390/su14031637,2022,Medicinal properties,,Marrubium aschersonii
432,Algerian Bunium incrassatum Seeds: Effects of Extraction Solvent Polarity on Phenolic Profile and Antioxidant Activity,Toul F.; Djendar A.; Seladji M.; Berroukeche F.,"Journal of the Turkish Chemical Society, Section A: Chemistry",10.18596/jotcsa.1058060,2022,Medicinal properties,Talghouda,Bunium incrassatum
433,Biochemical appraisal of the underutilized Hura crepitans seed oil: functional and inflammatory responses in albino rats; [Evaluación bioquímica del aceite de semilla de Hura crepitans infrautilizado: respuestas funcionales e inflamatorias en ratas albinas],Ugbaja R.N.; Simeon A.O.; Ugwor E.I.; Rotimi S.O.; Eromosele C.O.; Ademuyiwa O.,Grasas y Aceites,10.3989/gya.0445211,2022,Medicinal properties,,Hura crepitans
434,Avocado-waste mediated synthesis of Silver nanoparticles and exploration of their potential biological properties,Nallal V.U.M.; Prabha K.; Razia M.,Materials Today: Proceedings,10.1016/j.matpr.2022.05.537,2022,Medicinal properties,Avacado,Persea americana Miller
435,"Adenanthera pavonina, a potential plant-based protein resource: Seed protein composition and immunohistochemical localization of trypsin inhibitors",Krishnan H.B.; Kim S.; Pereira A.E.; Jurkevich A.; Hibbard B.E.,Food Chemistry: X,10.1016/j.fochx.2022.100253,2022,Medicinal properties,Adenanthera pavonina,Adenanthera pavonina
436,Pawpaw Peels as a Source of Nutraceuticals,Estella O.U.; Onyegbunam C.M.; Egbuna C.; Mba T.; Onyekere P.F.,Food and Agricultural Byproducts as Important Source of Valuable Nutraceuticals,10.1007/978-3-030-98760-2_10,2022,Medicinal properties,Pawpaw,Carica papaya L.
437,"The effect of variety and sowing date on the growth, development, yield and quality of common buckwheat (Fagopyrum esculentum Moench)",Domingos I.F.N.; Bilsborrow P.E.,European Journal of Agronomy,10.1016/j.eja.2021.126264,2021,Medicinal properties,Common buckwheat,Fagopyrum esculentum Moench
438,Effect of Foeniculum Vulgare Aqueous and Alcoholic Seed Extract against Zoonotic Cutaneous Leishmaniasis,Mostafa G.; Nahid J.; Javad S.S.; Alireza D.; Ebrahim S.S.,Ethiopian journal of health sciences,10.4314/ejhs.v31i2.23,2021,Medicinal properties,,Foeniculum Vulgare Aqueous
439,Potential sources of anti-obesity compound – hydroxycitric acid among some of the underutilized fruits in the philippines,Bagabaldo P.A.; Hurtada W.A.; Laurena A.C.; Atienza L.M.,Food Research,10.26656/fr.2017.5(3).532,2021,Medicinal properties,"Tamarind, batuan",Tamarindus indica L.  (tamarind) Garcinia binucao (batuan)
440,"Beneficial effects of a nano formulation of pomegranate seed oil, GranaGard, on the cognitive function of multiple sclerosis patients",Petrou B.; Ginzberg A.; Binyamin O.; Karussis D.,Multiple Sclerosis and Related Disorders,10.1016/j.msard.2021.103103,2021,Medicinal properties,"Pomegranate, soy bean",
441,"Phenolic content, antioxidant, cytotoxic and antiproliferative effects of fractions of Vigna subterraenea (L.) verdc from Mpumalanga, South Africa",Okafor J.N.C.; Rautenbauch F.; Meyer M.; Le Roes-Hill M.; Harris T.; Jideani V.A.,Heliyon,10.1016/j.heliyon.2021.e08397,2021,Medicinal properties,Bambara groundnut,Vigna subterraenea (L.)
442,Antitrypanosomal activity of hydromethanol extract of leaves of Cymbopogon citratus and seeds of Lepidium sativum: in-vivo mice model,Emiru A.Y.; Makonnen E.; Regassa F.; Regassa F.; Tufa T.B.,BMC Complementary Medicine and Therapies,10.1186/s12906-021-03449-1,2021,Medicinal properties,,Lepidium sativum
443,Behavioural and biochemical indications of the antidepressant activities of essential oils from Monodora myristica (Gaertn) seed and Xylopia aethiopica (Dunal) fruit in rats,Ekeanyanwu R.C.; Nkwocha C.C.; Ekeanyanwu C.L.,IBRO Neuroscience Reports,10.1016/j.ibneur.2021.01.001,2021,Medicinal properties,Gaertn and Dunal,Monodora myristica and Xylopia aethiopica
444,Characteristics and methods to release seed dormancy of two ground cherry (Physalis) species,Farooq S.; Onen H.; Ozaslan C.; El-Shehawi A.M.; Elseehy M.M.,Journal of Applied Research on Medicinal and Aromatic Plants,10.1016/j.jarmap.2021.100337,2021,Medicinal properties,Ground cherry,Physalis
445,Phenol content and scavenging activity on DPPH radicals in moringa leaves from Argentina,Radice S.; Arena M.E.; Castro F.G.; Giordani E.,Acta Horticulturae,10.17660/ActaHortic.2021.1306.22,2021,Medicinal properties,Moringa,Moringa oleifera
446,Silybum marianum: Not just silymarin and flavonolignans,Giordano M.; Luongo G.; Davinelli S.; Ladhari A.; Nappo G.R.; Giordano M.,Records of Natural Products,10.25135/rnp.219.20.09.1827,2021,Medicinal properties,,Silybum marianum L.
447,Cognitive impairment by non-insulin-dependent diabetes mellitus was attenuated by dietary supplements of marble vine (Dioclea reflexa) and plantain (Musa paradisiaca) dough meals in albino rats,Ajatta M.A.; Oladipupo O.R.; Josiah S.S.; Osundahunsi O.F.; Omoba O.S.,Journal of Food Biochemistry,10.1111/jfbc.13473,2021,Medicinal properties,"Marble vine, plantain","Dioclea reflexa, Musa paradisiaca"
448,Annonas: Underutilized species as a potential source of bioactive compounds,Anaya-Esparza L.M.; García-Magaña M.D.L.; Abraham Domínguez-Ávila J.; Yahia E.M.; Salazar-López N.J.; González-Aguilar G.A.; Montalvo-González E.,Food Research International,10.1016/j.foodres.2020.109775,2020,Medicinal properties,Annona,
449,"Barleria prionitis l.: An illustrative traditional, phytochemical and pharmacological review",Banerjee S.; Banerjee S.; Jha G.K.; Bose S.,Natural Products Journal,10.2174/2210315510666200131114525,2021,Medicinal properties,Porcupine flower or Vajradanti,Barleria prionitis l.
450,Moringa oleifera and its potential for combating tropical neglected diseases: A review,Vila Nova I.C.; Santos N.D.L.; Almeida W.A.; Silva T.N.; Coelho L.C.B.B.; Paiva P.M.G.; Pontual E.V.; Napoleão T.H.,"Moringa oleifera: Properties, Applications and Health Effects",,2020,Medicinal properties,Moringa,Moringa oleifera
451,Neem Extract,Rahal A.; Kumar D.; Malik J.K.,"Nutraceuticals: Efficacy, Safety and Toxicity",10.1016/B978-0-12-821038-3.00056-2,2021,Medicinal properties,Neem ,
452,Phenotypic Characterization of Tiger Nuts (Cyperus esculentus L.) from Major Growing Areas in Ghana,Asare P.A.; Kpankpari R.; Adu M.O.; Afutu E.; Adewumi A.S.,Scientific World Journal,10.1155/2020/7232591,2020,Medicinal properties,Tiger nuts,Cyperus esculentus Lativum
453,"A review on phytochemical constituents, role on metabolic diseases, and toxicological assessments of underutilized part of Garcinia mangostana L. fruit",Rohman A.; Arifah F.H.; Irnawati; Alam G.; Muchtaridi; Rafi M.,Journal of Applied Pharmaceutical Science,10.7324/JAPS.2020.10716,2020,Medicinal properties,Mangosteen,Garcinia mangostana L. 
454,Detoxifying action of aqueous extracts of mucuna pruriens seed and mimosa pudica root against venoms of naja nigricollis and bitis arietans,Ameh M.P.; Mohammed M.; Ofemile Y.P.; Mohammed M.G.; Gabriel A.; Isaac A.O.,Recent Patents on Biotechnology,10.2174/1872208313666191025110019,2020,Medicinal properties,,mucuna pruriens
455,Heterosis and combining ability analysis for biochemical traits of velvet bean,Chinapolaiah A.; Hima Bindu K.; Thondaiman V.; Keshava Rao V.; Hariprasada Rao N.; Sudheer Kumar S.,Indian Journal of Horticulture,10.5958/0974-0112.2020.00038.9,2020,Medicinal properties,Velvet bean,
456,Camu-camu (Myrciaria dubia) seeds as a novel source of bioactive compounds with promising antimalarial and antischistosomicidal properties,do Carmo M.A.V.; Fidelis M.; Sanchez C.A.; Castro A.P.; Camps I.; Colombo F.A.; Marques M.J.; Myoda T.; Granato D.; Azevedo L.,Food Research International,10.1016/j.foodres.2020.109334,2020,Medicinal properties,Camu-camu,Myrciaria dubia
457,Genetic diversity analysis in underutilized medicinal climber Mucuna pruriens (L.) DC. germplasm revealed by inter simple sequence repeats markers,Chinapolaiah A.; Bindu K.H.; Khadke G.N.; Manjesh G.N.; Rao N.H.; Kumar S.S.; Suthar M.K.,Legume Research,10.18805/LR-3954,2020,Medicinal properties,Velvet bean,Mucuna pruriens (L.) DC. 
458,Introduction and expansion of Moringa oleifera Lam. in Botswana: Current status and potential for commercialization,Seifu E.; Teketay D.,South African Journal of Botany,10.1016/j.sajb.2020.01.020,2020,Medicinal properties,Moringa,Moringa oleifera Lam.
459,Analysis of nutrients and compounds potentially reducing risks of overweightness and obesity-related diseases in raw and roasted Adenanthera pavonina seeds from Samoa,Huml L.; Drabek O.; Pohorela B.; Kotikova Z.; Umar M.; Miksatkova P.; Kokoska L.,Emirates Journal of Food and Agriculture,10.9755/ejfa.2020.v32.i2.2067,2020,Medicinal properties,,Adenanthera pavonina 
460,Safflower (Carthamus tinctorius L.) breeding,Golkar P.; Karimi S.,Advances in Plant Breeding Strategies: Industrial and Food Crops,10.1007/978-3-030-23265-8_14,2019,Medicinal properties,Safflower,Carthamus tinctorius L.
461,Kendu - A promising underutilized forest fruit species for poverty alleviation of tribals,Roy D.; Das K.; Nandi P.; Kundu S.; Ghosh B.; Sharath A.A.,Acta Horticulturae,10.17660/ACTAHORTIC.2019.1241.103,2019,Medicinal properties,Kendu ,Diospyros melanoxylon Roxb.
462,RP-HPLC Analysis of Anti-Parkinson’s Drug l-DOPA Content in Mucuna Species from Indian Subcontinent,Patil R.; Aware C.; Gaikwad S.; Rajebhosale M.; Bapat V.; Yadav S.; Jadhav J.,Proceedings of the National Academy of Sciences India Section B - Biological Sciences,10.1007/s40011-018-01071-9,2019,Medicinal properties,,Mucuna
463,In vitro and in silico molecular interaction of multiphase nanoparticles containing inositol hexaphosphate and jacalin: Therapeutic potential against colon cancer cells (HCT-15),Arya M.; Mishra N.; Singh P.; Tripathi C.B.; Parashar P.; Singh M.; Gupta K.P.; Saraf S.A.,Journal of Cellular Physiology,10.1002/jcp.28200,2019,Medicinal properties,Jackfruit,
464,Variability in L-Dopa and other biochemical composition of Mucuna pruriens (L.) an underutilized tropical legume,Chinapolaiah A.; K. H.B.; G.N. M.; Thondaiman V.; Keshava Rao V.; N. H.R.; S. S.K.,Industrial Crops and Products,10.1016/j.indcrop.2019.06.010,2019,Medicinal properties,Velvet bean,Mucuna pruriens (L.)
465,"VERIFICATION OF AUTHENTICITY OF GINKGO BILOBA L. LEAF EXTRACT AND ITS PRODUCTS PRESENT ON THE CROATIAN MARKET BY ANALYSIS OF QUANTITY AND RATIO OF GINKGO FLAVONE GLYCOSIDES (QUERCETIN, KAEMPFEROL AND ISORHAMNETIN) TO TERPENE TRILACTONES TO THE EFFECT OF UNMASKING COUNTERFEIT DRUGS ENDANGERING PATIENT HEALTH",Bude? M.; Bošnir J.; Racz A.; Lasi? D.; Brki? D.; Mosovi? ?ui? A.; Kuhari? Ž.; Jurak G.; Baruši? L.,Acta clinica Croatica,10.20471/acc.2019.58.04.15,2019,Medicinal properties,,Ginkgo biloba L.
466,"Efficacy of a mixture of neem seed oil (Azadirachta indica) and coconut oil (Cocos nucifera) for topical treatment of tungiasis. A randomized controlled, proof-of-principle study",Elson L.; Randu K.; Feldmeier H.; Fillinger U.,PLoS Neglected Tropical Diseases,10.1371/journal.pntd.0007822,2019,Medicinal properties,Neem and coconut,Azadirachta indica and Cocos nucifera
467,Evaluation of phenolic-linked anti-hyperglycemic properties of tropical Brazilian fruits for potential management of early stages Type 2 diabetes,Ramalho S.A.; Narain N.; Andrade J.K.S.; Santos De Oliveira C.; Sarkar D.; Shetty K.,Fruits,10.17660/th2018/73.5.3,2018,Medicinal properties,Jaboticaba ,Myrciaria cauliflora
468,In vitro and in vivo anti-hyperglycemic effects of green and red mustard leaves (Brassica juncea var. integrifolia),Jo S.-H.; Cho C.-Y.; Ha K.-S.; Lee J.-Y.; Choi H.-Y.; Kwon Y.-I.; Apostolidis E.,Journal of Food Biochemistry,10.1111/jfbc.12583,2018,Medicinal properties,Green and red mustard,Brassica juncea var. integrifolia
469,"Blood-pressure lowering efficacy of winged bean seed hydrolysate in spontaneously hypertensive rats, peptide characterization and a toxicity study in Sprague-Dawley rats",Chay S.Y.; Salleh A.; Sulaiman N.F.; Zainal Abidin N.; Hanafi M.A.; Zarei M.; Saari N.,Food and Function,10.1039/c7fo01769c,2018,Medicinal properties,Winged bean,
470,"Purification and characterization of alpha-amylase inhibitor from the seeds of underutilized legume, Mucuna pruriens",Bharadwaj R.P.; Raju N.G.; Chandrashekharaiah K.S.,Journal of Food Biochemistry,10.1111/jfbc.12686,2018,Medicinal properties,Velvet bean,Mucuna pruriens
471,"Underutilized mangifera species (Mangijera caesia, Mangifera quadrijida and Mangifera odorata) from Borneo: A potential source of natural antioxidant",Ismail N.A.; Abu Bakar M.F.; Abu Bakar F.I.; Rahim A.C.; Murdin N.,Journal of Engineering and Applied Sciences,10.3923/jeasci.2019.1169.1177,2019,Medicinal properties,"Bundu, Dumpiring and Mangga Wani ","Mangifera caesia, Mangifera quadrifida, Mangifera odorata"
472,Pharmakon evaluation in Momordica cymbalaria,Anbuselvi S.; Roshini Esther A.; Punithavathy R.,Drug Invention Today,,2019,Medicinal properties,,Momordica cymbalaria
473,Phaseolus lunatus (lima beans) abates Fe2+-induced hepatic redox imbalance; inhibits intestinal glucose absorption and major carbohydrate catabolic enzymes; and modulates muscle glucose uptake,Erukainure O.L.; Mopuri R.; Chukwuma C.I.; Koorbanally N.A.; Islam M.S.,Journal of Food Biochemistry,10.1111/jfbc.12655,2018,Medicinal properties,Lima beans,Phaseolus lunatus
474,"Underutilized, yet potential medicinal plants of Western Ghats",Mallikarjuna Gowda A.P.; Ranjini T.N.; Peethambar S.K.; Praneeth Y.S.,Acta Horticulturae,10.17660/ActaHortic.2019.1241.3,2019,Medicinal properties,"Nux vomica , black myrobalan, crab's eye , jivanti prickly chaff, ghanera  and Indian birthwort ","Strychnos nuxvomica,  Terminalia chebula,  Abrus precatorius,  Leptadenia reticulata,  Achyranthes aspera,  Nothapodytes nimmoniana and  Aristolochia indica"
475,Chemical and biological evaluations of potent antiseptic cosmetic products obtained from Momordica charantia seed oil,Zubair M.F.; Atolani O.; Ibrahim S.O.; Oguntoye O.S.; Abdulrahim H.A.; Oyegoke R.A.; Olatunji G.A.,Sustainable Chemistry and Pharmacy,10.1016/j.scp.2018.05.005,2018,Medicinal properties,,Momordica charantia
476,Medicinal value of Garcinia-biochemical evidence,Parthsarathy U.; Nandakishore O.P.,Acta Horticulturae,10.17660/ActaHortic.2019.1241.28,2019,Medicinal properties,Genus Garcinia,"G. indica, G. gummi-gutta, G. xanthochymus, G. subelliptica and G. mangostana, G. lanceaefolia, G. pedunculata, G. kydia and G. xanthochymu"
477,Characterization of Vicia (Fabaceae) seed water extracts with potential immunomodulatory and cell antiproliferative activities,Megías C.; Cortés-Giraldo I.; Girón-Calle J.; Alaiz M.; Vioque J.,Journal of Food Biochemistry,10.1111/jfbc.12578,2018,Medicinal properties,Vicia,
478,Current knowledge and breeding perspectives for the spider plant (Cleome gynandra L.): a potential for enhanced breeding of the plant in Africa,Kwarteng A.O.; Abogoom J.; Adu Amoah R.; Nyadanu D.; Ghunney T.; Nyam K.C.; Ziyaaba J.Z.; Danso E.O.; Asiedu D.D.; Whyte T.,Genetic Resources and Crop Evolution,10.1007/s10722-018-0626-5,2018,Medicinal properties,Spider plant,Cleome gynandra
479,Toxicological parameters of albino rats fed with extruded snacks from Aerial yam (Dioscoria bulbifera) and African breadfruit seed (Treculia africana),Olatoye K.K.; Arueya G.L.,Food Science and Nutrition,10.1002/fsn3.533,2018,Medicinal properties,African breadfruit seed,Treculia africana
480,"DNA and BSA damage inhibitory activities, and anti-acetylcholinesterase, anti-porcine ?-amylase and antioxidant properties of Dolichos lablab beans",Habib H.M.; Theuri S.W.; Kheadr E.; Mohamed F.E.,Food and Function,10.1039/c6fo01164k,2017,Medicinal properties,Lablab beans,Dolichos lablab
481,Nanoencapsulation of passion fruit by-products extracts for enhanced antimicrobial activity,Oliveira D.A.; Angonese M.; Ferreira S.R.S.; Gomes C.L.,Food and Bioproducts Processing,10.1016/j.fbp.2017.05.009,2017,Medicinal properties,Passion fruit,
482,Antidiabetic and antioxidant functionality associated with phenolic constituents from fruit parts of indigenous black jamun (Syzygium cumini L.) landraces,Gajera H.P.; Gevariya S.N.; Hirpara D.G.; Patel S.V.; Golakiya B.A.,Journal of Food Science and Technology,10.1007/s13197-017-2756-8,2017,Medicinal properties,Black jamun,Syzygium cumini L
483,"Syzygium cumini seed exhibits antidiabetic potential via multiple pathways involving inhibition of ?-glucosidase, DPP-IV, glycation, and ameliorating glucose uptake in L6 cell lines",Syama H.P.; Arun K.B.; Sinumol G.; Dhanya R.; Suseela Anusree S.; Nisha P.; Ravi Shankar L.; Sundaresan A.; Jayamurthy P.,Journal of Food Processing and Preservation,10.1111/jfpp.13464,2018,Medicinal properties,Black jamun / Madan,Syzygium cumini
484,Quantification of phenolic compounds and antioxidant capacity of an underutilized Indian fruit: Rayan [Manilkara hexandra (Roxb.) Dubard],Parikh B.; Patel V.H.,Food Science and Human Wellness,10.1016/j.fshw.2016.11.002,2017,Medicinal properties,Rayan,Manilkara hexandra (Roxb.) Dubard
485,"Functional, bioactive, biochemical, and physicochemical properties of the Dolichos lablab bean",Habib H.M.; Theuri S.W.; Kheadr E.E.; Mohamed F.E.,Food and Function,10.1039/c6fo01162d,2017,Medicinal properties,Dolichos lablab beans,Dolichos lablab
486,Antioxidant Properties of Methanol Extracts from Olea ferruginea Royle Seeds,Sharma R.K.; Kundra R.; Samant S.S.; Nandi S.K.,National Academy Science Letters,10.1007/s40009-017-0587-9,2017,Medicinal properties,,Olea ferruginea Royle
487,Horticultural management of Syzygium cumini,Tewari S.K.; Singh D.; Nainwal R.C.,The Genus Syzygium: Syzygium Cumini and Other Underutilized Species,10.1201/9781315118772,2017,Medicinal properties,Jamun,Syzygium cumini
488,"Traditional uses, phytochemistry and biological activities of Parkia timoriana (DC.) Merr., an underutilized multipurpose tree bean: a review",Angami T.; Bhagawati R.; Touthang L.; Makdoh B.; Nirmal; Lungmuana; Bharati K.A.; Silambarasan R.; Ayyanar M.,Genetic Resources and Crop Evolution,10.1007/s10722-017-0595-0,2018,Medicinal properties,Tree bean,Parkia timoriana
489,Non-polyphenolic compounds of a specific kind of dried grape (Maviz) inhibit memory impairments induced by beta-amyloid peptide,Bakhtiyari E.; Ahmadian-Attari M.M.; Salehi P.; Khallaghi B.; Dargahi L.; Mohamed Z.; Kamalinejad M.; Ahmadiani A.,Nutritional Neuroscience,10.1080/1028415X.2016.1183986,2017,Medicinal properties,Maviz,
490,A review of fatty acids and genetic characterization of safflower (Carthamus Tinctorius L.) seed oil,Liu L.; Guan L.-L.; Yang Y.-X.,World Journal of Traditional Chinese Medicine,10.15806/j.issn.2311-8571.2016.0006,2016,Medicinal properties,Safflower,Carthamus tinctorius L
491,Nutritional evaluation of fruits of gynochthodes umbellata (l.) razafim. & B. Bremer-an underutilized edible fruit plant,Sudhakaran A.; Nair G.A.,Pharmacognosy Journal,10.5530/pj.2016.1.16,2016,Medicinal properties,,Gynochthodes umbellata
492, Cleome viscosa: a promising underutilized minor crop,Saroop S.; Kaul V.,Genetic Resources and Crop Evolution,10.1007/s10722-015-0305-8,2015,Medicinal properties,,Cleome viscosa
493,Antioxidative and Functional Properties of Kariya (Hildergadia barteri) Protein Hydrolysates Obtained with Two Different Proteolytic Enzymes,Adiamo O.Q.; Gbadamosi O.S.; Abiose S.H.,Journal of Food Processing and Preservation,10.1111/jfpp.12597,2016,Medicinal properties,Kariya,Hildergadia barteri
494,Neem Extract,Kumar D.; Rahal A.; Malik J.K.,"Nutraceuticals: Efficacy, Safety and Toxicity",10.1016/B978-0-12-802147-7.00043-7,2016,Medicinal properties,Neem,
495,Phytochemical Constituents and the Effect of Processing on Antioxidant Properties of Seeds of an Underutilized Wild Legume Bauhinia Petersiana,Chidewe C.K.; Chirukamare P.; Nyanga L.K.; Zvidzai C.J.; Chitindingu K.,Journal of Food Biochemistry,10.1111/jfbc.12221,2016,Medicinal properties,,Bauhinia petersiana
496,Antibacterial activities of acetonides prepared from the seed oils of Calophyllum inophyllum and Pterocarpus osun,Adewuyi A.; Fasusi O.H.; Oderinde R.A.,Journal of Acute Medicine,10.1016/j.jacme.2014.02.001,2014,Medicinal properties,,"Calophyllum inophyllum, Pterocarpus osun"
497,Phytochemicals and antioxidative properties of borneo indigenous liposu (Baccaurea lanceolata) and tampoi (Baccaurea macrocarpa) fruits,Abu Bakar M.F.; Ahmad N.E.; Karim F.A.; Saib S.,Antioxidants,10.3390/antiox3030516,2014,Medicinal properties,"Borneo/liposu,tampoi ","Baccaurea lanceolata, Baccaurea macrocarpa"
498,"Antimicrobial polyphenols from small tropical fruits, tea and spice oilseeds",Aman S.; Naim A.; Siddiqi R.; Naz S.,Food Science and Technology International,10.1177/1082013213482476,2014,Medicinal properties,"Thymol, mustard, fenugreek and poppy",
499,Valorization of neglected french-american grapevine hybrid as sources of natural compounds for nutraceutical uses,Flamini R.; De Rosso M.; De Marchi F.; Seraglia R.; Traldi P.; Tonidandel L.; Larcher R.; Nicolini G.; Vedova A.D.; Gardiman M.,Acta Horticulturae,10.17660/ActaHortic.2014.1032.4,2014,Medicinal properties,French-american grapevine hybrid,
500,Characterization of dehydrated functional fractional radish leaf powder,Ankita; Prasad K.,Der Pharmacia Lettre,,2015,Medicinal properties,Radish,Raphanus sativus L
501,The fatty acid composition and physicochemical properties of the underutilised Cassia abbreviata seed oil,Dangarembizi R.; Chivandi E.; Dawood S.; Erlwanger K.H.; Gundidza M.; Magwa M.L.; Muredzi P.; Samie A.,Pakistan Journal of Pharmaceutical Sciences,,2015,Medicinal properties,,Cassia abbreviata
502,"Nutritional composition and health benefits of golden grain of 21st century, quinoa (Chenopodium quinoa willd.): A Review",Arneja I.; Tanwar B.; Chauhan A.,Pakistan Journal of Nutrition,10.3923/pjn.2015.1034.1040,2015,Medicinal properties,Quinoa,Chenopodium quinoa willd
503,Globe artichoke – A vegetable herb and ornamental of value in central europe: A review,S?kara A.; Kalisz A.; Gruszecki R.; Grabowska A.; Kunicki E.,Journal of Horticultural Science and Biotechnology,10.1080/14620316.2015.11513196,2015,Medicinal properties,Globe artichoke,Cynara cardunculus L. var. scolymus (L.) Fiori
504,Gastro-protective effects of the phenolic acids of Macrotyloma uniflorum (horse gram) on experimental gastric ulcer models in rats,Panda V.; Suresh S.,Food Bioscience,10.1016/j.fbio.2015.07.004,2015,Medicinal properties,Horse gram,Macrotyloma uniflorum Lam.
505,Bufotenine is able to block rabies virus infection in BHK-21 cells,Vigerelli H.; Sciani J.M.; Jared C.; Antoniazzi M.M.; Caporale G.M.M.; da Silva A.C.R.; Pimenta D.C.,Journal of Venomous Animals and Toxins Including Tropical Diseases,10.1186/1678-9199-20-45,2014,Medicinal properties,,Anadenanthera colubrinain
506,Supercritical carbon dioxide extraction of highly unsaturated oil from Phaleria macrocarpa seed,Azmir J.; Zaidul I.S.M.; Sharif K.M.; Uddin M.S.; Jahurul M.H.A.; Jinap S.; Hajeb P.; Mohamed A.,Food Research International,10.1016/j.foodres.2014.06.049,2014,Medicinal properties,Mahkota dewa,Phaleria macrocarpa 
507,Neolignans from the seeds of Prunus tomentosa (Rosaceae) and their chemotaxonomic interest,Liu Q.-B.; Huang X.-X.; Yan X.-J.; Bai M.; Yu L.-H.; Hu C.; Zhu T.; Li L.-Z.; Song S.-J.,Biochemical Systematics and Ecology,10.1016/j.bse.2014.03.030,2014,Medicinal properties,,Prunus tomentosa
508,"Solanum quitoense, a new greenhouse crop for Central Europe: Flowering and fruiting respond to photoperiod",Messinger J.; Lauerer M.,Scientia Horticulturae,10.1016/j.scienta.2014.11.015,2015,Medicinal properties,Lulo,Solanum quitoense Lam
509,Antileishmanial activity of the essential oil from bixa orellana,Monzote L.; García M.; Scull R.; Cuellar A.; Setzer W.N.,Phytotherapy Research,10.1002/ptr.5055,2014,Medicinal properties,,Bixa orellana 
510,"Phenolic-rich extracts from selected tropical underutilized legumes inhibit ?-amylase, ?-glucosidase, and angiotensin I converting enzyme in vitro",Ademiluyi A.O.; Oboh G.,Journal of Basic and Clinical Physiology and Pharmacology,10.1515/jbcpp-2011-0005,2012,Medicinal properties,Bambara groundnut,
511,Cytotoxic Constituents of Pachyrhizus Tuberosus from Peruvian Amazon,Leuner O.; Havlik J.; Budesinsky M.; Vrkoslav V.; Chu J.; Bradshaw T.D.; Hummelova J.; Miksatkova P.; Lapcik O.; Valterova I.; Kokoska L.,Natural Product Communications,10.1177/1934578X1300801022,2013,Medicinal properties,,Pachyrhizus tuberosus
